Emitido para	Emitido por	Data de validade	Finalidades	Nome amigável	Status	Modelo de Certificado
AddTrust External CA Root	AddTrust External CA Root	30/05/2020	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Sectigo (AddTrust)	    	
Baltimore CyberTrust Root	Baltimore CyberTrust Root	12/05/2025	Autenticação do Servidor, Email Seguro, Autenticação de Cliente, Assinatura do Código, Autenticação OCSP, Carimbo de Data/Hora	DigiCert Baltimore Root	    	
Certum CA	Certum CA	11/06/2027	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Autenticação OCSP	Certum	    	
Certum Trusted Network CA	Certum Trusted Network CA	31/12/2029	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Certum Trusted Network CA	    	
Class 3 Public Primary Certification Authority	Class 3 Public Primary Certification Authority	01/08/2028	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código	VeriSign Class 3 Public Primary CA	    	
COMODO RSA Certification Authority	COMODO RSA Certification Authority	18/01/2038	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Sectigo (formerly Comodo CA)	    	
DigiCert Assured ID Root CA	DigiCert Assured ID Root CA	09/11/2031	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	DigiCert	    	
DigiCert Global Root CA	DigiCert Global Root CA	09/11/2031	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	DigiCert	    	
DigiCert Global Root G2	DigiCert Global Root G2	15/01/2038	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	DigiCert Global Root G2	    	
DigiCert High Assurance EV Root CA	DigiCert High Assurance EV Root CA	09/11/2031	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	DigiCert	    	
DST Root CA X3	DST Root CA X3	30/09/2021	Email Seguro, Autenticação do Servidor, Autenticação de Cliente, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Assinatura de Documentos	DST Root CA X3	    	
Entrust Root Certification Authority	Entrust Root Certification Authority	27/11/2026	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Término do túnel de segurança de IP, Usuário de segurança de IP, Segurança de IP IKE Intermediária, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia	Entrust	    	
Entrust Root Certification Authority - G2	Entrust Root Certification Authority - G2	07/12/2030	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	Entrust.net	    	
GeoTrust Global CA	GeoTrust Global CA	21/05/2022	Autenticação do Servidor, Autenticação de Cliente, Email Seguro, Assinatura do Código, Carimbo de Data/Hora	GeoTrust Global CA	    	
GlobalSign	GlobalSign	18/03/2029	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Carimbo de Data/Hora, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP	GlobalSign Root CA - R3	    	
GlobalSign	GlobalSign	15/12/2021	Autenticação do Servidor, Autenticação de Cliente, Assinatura do Código, Email Seguro, Carimbo de Data/Hora, Autenticação OCSP, Sistema de Arquivos Com Criptografia, Término do túnel de segurança de IP, Usuário de segurança de IP, Segurança de IP IKE Intermediária	Google Trust Services - GlobalSign Root CA-R2	    	
